# VERTIKAAL 8 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 10:48:49
#X: 40120 - Y: 395990
#00 DONARLOCATIE: VTS-10
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1017>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <4>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  40120  395990 20250526 104857    0.99   20.64   16.27   8.18 7.52      91   37.06    4020   28.78   16265    0.36    0.28
  40120  395990 20250526 104912    2.00   19.70   16.23   8.18 7.52      91   37.03    4020   28.78   16265    0.42    0.28
  40120  395990 20250526 104926    3.03   18.59   16.21   8.17 7.49      90   37.01    4020   28.78   16263    0.47    0.41
  40120  395990 20250526 104941    3.98   16.88   16.20   8.17 7.48      90   37.01    4020   28.78   16266    0.37    0.28
  40120  395990 20250526 105007    5.00   13.90   16.14   8.17 7.39      89   36.95    4020   28.78   16266    0.28    0.27
  40120  395990 20250526 105023    6.00   12.54   16.10   8.17 7.36      89   36.92    4020   28.78   16266    0.22    0.35
  40120  395990 20250526 105037    7.03   11.41   16.10   8.16 7.33      88   36.92    4020   28.78   16267    0.32    0.38
  40120  395990 20250526 105052    8.05   10.41   16.06   8.16 7.32      88   36.95    4027   28.83   16296    0.37    0.22
  40120  395990 20250526 105107    9.02    9.34   16.08   8.16 7.30      88   36.99    4030   28.86   16310    0.30    0.36
  40120  395990 20250526 105127    9.98    8.34   16.12   8.16 7.28      88   37.19    4049   29.01   16396    0.24    0.40
  40120  395990 20250526 105157   11.03    7.55   16.11   8.16 7.17      87   37.24    4054   29.05   16419    0.31    0.42
  40120  395990 20250526 105226   12.04    6.99   16.10   8.16 7.13      86   37.30    4061   29.11   16454    0.31    0.50
  40120  395990 20250526 105307   13.02    6.73   16.09   8.15 6.97      84   37.37    4070   29.18   16495    0.31    0.43
  40120  395990 20250526 105321   14.02    5.91   16.09   8.16 6.94      84   37.42    4076   29.22   16522    0.27    0.50
  40120  395990 20250526 105421   15.05    5.38   16.09   8.15 6.60      80   37.56    4092   29.35   16594    0.21    0.54
  40120  395990 20250526 105454   15.96    4.75   16.09   8.14 6.41      78   37.66    4102   29.43   16643    0.30    0.54
  40120  395990 20250526 105545   17.03    4.73   16.10   8.13 6.08      74   37.80    4116   29.55   16709    0.23    0.66
  40120  395990 20250526 105643   18.05    5.61   16.13   8.12 5.56      67   38.06    4142   29.75   16825    0.31    0.69
  40120  395990 20250526 105659   18.96    5.14   16.13   8.12 5.55      67   38.07    4143   29.76   16832    0.23    0.71
  40120  395990 20250526 105729   20.05    3.81   16.13   8.12 5.49      67   38.09    4145   29.78   16841    0.22    0.60
  40120  395990 20250526 105817   21.04    2.60   16.14   8.11 5.31      64   38.17    4153   29.84   16878    0.22    0.70
  40120  395990 20250526 105837   21.97    1.45   16.14   8.11 5.25      64   38.19    4156   29.86   16890    0.23    0.72
