# VERTIKAAL 15 M.C.ECOS 8 VERTIKAAL
* 26-05-2025 12:48:49
#X: 33887 - Y: 398893
#00 DONARLOCATIE: VTS-03
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1018>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <4>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU
  33887  398893 20250526 124857    0.99   21.84   15.93   8.23 8.02      96   36.33    3972   28.40   16044    0.98    0.39
  33887  398893 20250526 124913    1.98   21.17   15.94   8.23 8.01      96   36.33    3970   28.39   16038    0.87    0.39
  33887  398893 20250526 124928    2.97    0.00   16.01   8.23 8.01      96   36.38    3970   28.38   16036    0.91    0.45
  33887  398893 20250526 124947    4.00   19.37   15.95   8.23 8.01      96   36.35    3971   28.39   16040    1.07    0.49
  33887  398893 20250526 125001    5.01   18.08   15.84   8.23 8.00      96   36.24    3970   28.38   16038    1.25    0.46
  33887  398893 20250526 125015    6.03   16.86   15.82   8.23 7.98      95   36.24    3971   28.39   16043    1.08    0.33
  33887  398893 20250526 125034    7.01   15.36   15.81   8.23 7.93      95   36.22    3971   28.39   16041    0.77    0.39
  33887  398893 20250526 125100    8.04   13.54   15.79   8.23 7.82      93   36.22    3971   28.39   16042    0.66    0.51
  33887  398893 20250526 125114    9.00   12.28   15.78   8.22 7.83      93   36.21    3971   28.39   16043    0.56    0.33
  33887  398893 20250526 125129   10.03   11.20   15.77   8.23 7.85      94   36.20    3971   28.39   16042    0.65    0.43
  33887  398893 20250526 125234   10.99    8.81   15.79   8.21 7.57      90   36.30    3981   28.47   16087    0.46    0.34
  33887  398893 20250526 125249   11.99    7.29   15.79   8.21 7.57      90   36.30    3981   28.47   16086    0.42    0.36
  33887  398893 20250526 125315   12.98    6.74   15.81   8.21 7.51      90   36.34    3984   28.49   16101    0.45    0.36
  33887  398893 20250526 125336   13.92    6.19   15.82   8.21 7.47      89   36.37    3986   28.51   16110    0.41    0.39
  33887  398893 20250526 125431   15.04    5.88   15.86   8.19 7.10      85   36.54    4001   28.63   16178    0.36    0.53
  33887  398893 20250526 125453   16.02    4.78   15.87   8.19 7.06      85   36.56    4002   28.63   16182    0.41    0.51
  33887  398893 20250526 125522   17.02    4.30   15.89   8.18 6.93      83   36.63    4008   28.68   16211    0.41    0.56
  33887  398893 20250526 125602   17.99    3.76   15.89   8.18 6.76      81   36.68    4014   28.73   16238    0.37    0.64
  33887  398893 20250526 125617   19.00    2.64   15.89   8.18 6.74      81   36.68    4013   28.73   16236    0.41    0.70
  33887  398893 20250526 125634   19.98    1.78   15.90   8.18 6.73      81   36.71    4015   28.74   16245    0.41    0.86
  33887  398893 20250526 125649   21.08    1.05   15.92   8.18 6.73      81   36.76    4019   28.77   16263    0.34    0.64
  33887  398893 20250526 125724   21.98    0.91   15.92   8.17 6.70      80   36.77    4020   28.78   16268    0.37    0.64
  33887  398893 20250526 125810   23.01    0.75   15.91   8.18 6.68      80   36.75    4019   28.77   16261    0.46    0.54
