# VTK  16 Delta
* 03-06-2025 12:57:56
#X: 50652 - Y: 418301
#00 DONARLOCATIE: GTS-05
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  50652  418301 20250603 125808    1.02   28.00   16.94   8.17 8.88     110   38.84    4151   29.82   16862    1.23      1.57    8.87
  50652  418301 20250603 125818    1.00   27.61   16.84   8.17 8.86     109   38.78    4153   29.84   16874    1.32      1.59    8.84
  50652  418301 20250603 125837    2.04   26.91   16.92   8.17 8.80     109   38.81    4149   29.81   16857    1.32      1.52    8.79
  50652  418301 20250603 125855    3.05    6.18   16.83   8.16 8.76     108   38.78    4156   29.86   16885    1.54      1.63    8.75
  50652  418301 20250603 125916    4.06   24.24   16.85   8.15 8.62     106   38.79    4154   29.84   16876    1.28      1.65    8.61
  50652  418301 20250603 125934    5.04   22.91   16.78   8.15 8.65     107   38.74    4155   29.85   16883    1.42      1.67    8.63
  50652  418301 20250603 130022    6.07   21.11   16.04   8.11 8.02      97   38.28    4174   30.01   16977    1.42      1.64    8.00
  50652  418301 20250603 130050    6.98   19.35   15.91   8.10 7.84      95   38.21    4179   30.05   16999    1.18      1.55    7.83
  50652  418301 20250603 130108    8.00   18.04   16.06   8.11 7.89      96   38.28    4173   30.00   16968    1.75      1.75    7.88
  50652  418301 20250603 130135    9.00   17.48   15.80   8.09 7.77      94   38.30    4200   30.21   17095    0.98      1.53    7.76
  50652  418301 20250603 130201   10.00   16.96   15.90   8.06 7.54      92   38.79    4242   30.56   17292    0.42      1.76    7.53
  50652  418301 20250603 130244   10.98   16.78   15.65   8.04 7.13      86   38.64    4251   30.62   17333    0.39      1.81    7.12
  50652  418301 20250603 130305   12.03   16.41   15.60   8.04 7.26      88   38.62    4252   30.63   17339    0.33      1.69    7.24
  50652  418301 20250603 130336   13.00    3.23   15.18   8.01 6.75      81   38.21    4249   30.61   17326    0.33      1.81    6.74
  50652  418301 20250603 130356   14.02   15.17   15.21   8.01 6.69      80   38.29    4254   30.65   17351    0.30      1.85    6.67
  50652  418301 20250603 130419   15.00   14.05   15.20   8.00 6.58      79   38.30    4256   30.67   17361    0.37      1.93    6.57
  50652  418301 20250603 130552   15.98   14.36   14.08   7.95 5.68      67   37.15    4237   30.52   17276    0.25      1.89    5.67
  50652  418301 20250603 130633   16.99   13.48   13.29   7.90 4.97      57   36.37    4225   30.43   17227    0.19      1.80    4.96
  50652  418301 20250603 130720   17.96    0.00   12.04   7.85 4.10      46   35.20    4213   30.33   17174    0.14      1.73    4.10
  50652  418301 20250603 130811   19.03    0.00   10.28   7.74 2.58      28   33.55    4192   30.17   17085    0.14      1.69    2.57
  50652  418301 20250603 130830   20.00    0.00   10.10   7.73 2.46      26   33.37    4187   30.13   17067    0.19      1.86    2.45
  50652  418301 20250603 130852   21.00    0.00   10.11   7.72 2.34      25   33.37    4187   30.13   17063    0.17      2.01    2.34
  50652  418301 20250603 130921   22.06    0.00    9.75   7.69 2.02      22   33.04    4183   30.10   17047    0.12      1.84    2.02
  50652  418301 20250603 130937   22.99    4.71    9.55   7.69 1.91      20   32.88    4183   30.10   17050    0.09      1.89    1.91
  50652  418301 20250603 131006   23.97    3.62    9.10   7.66 1.60      17   32.46    4178   30.06   17025    0.20      1.82    1.60
  50652  418301 20250603 131022   25.09    2.40    9.04   7.66 1.50      16   32.39    4174   30.03   17009    0.15      1.84    1.49
  50652  418301 20250603 131043   25.99    1.74    8.90   7.66 1.41      15   32.27    4173   30.03   17007    0.15      1.99    1.40
  50652  418301 20250603 131105   27.04    0.00    8.52   7.65 1.24      13   31.93    4169   29.99   16988    0.11      1.99    1.24
