# VTK  8 Delta
* 03-06-2025 10:33:13
#X: 59214 - Y: 414063
#00 DONARLOCATIE: GTS-13
#08 WAARNEMER(S): Hartman
@ par1.dat

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH  GELDHD  SALNTT     CL- CHLFRFU TROEBHFNU PHYCOUG
  59214  414063 20250603 103328    1.01   23.17   17.47   8.12 8.07     101   39.28    4149   29.81   16854    0.87      1.37    8.06
  59214  414063 20250603 103338    1.00   23.19   17.48   8.12 8.05     100   39.28    4149   29.80   16850    0.87      1.44    8.04
  59214  414063 20250603 103354    2.03   22.39   17.50   8.12 8.06     101   39.31    4149   29.80   16852    1.01      1.35    8.05
  59214  414063 20250603 103411    3.00   21.48   17.48   8.12 8.08     101   39.31    4151   29.82   16859    1.02      1.44    8.06
  59214  414063 20250603 103434    4.02   20.57   17.50   8.13 8.12     101   39.33    4152   29.82   16863    1.08      1.49    8.11
  59214  414063 20250603 103455    5.03   19.60   17.49   8.14 8.21     102   39.33    4152   29.83   16867    1.07      1.48    8.20
  59214  414063 20250603 103520    5.98   18.69   17.49   8.14 8.27     103   39.33    4153   29.83   16869    1.03      1.45    8.26
  59214  414063 20250603 103537    7.01   17.65   17.42   8.13 8.27     103   39.31    4156   29.86   16883    0.81      1.57    8.26
  59214  414063 20250603 103615    7.97   16.58   17.26   8.09 7.54      94   39.14    4153   29.84   16873    0.52      1.56    7.53
  59214  414063 20250603 103645    9.02    0.00   17.03   8.08 7.35      91   38.90    4149   29.81   16855    0.45      1.70    7.33
  59214  414063 20250603 103705    9.95    8.85   16.96   8.07 7.37      91   38.96    4162   29.91   16914    0.55      1.62    7.36
  59214  414063 20250603 103721   11.00    5.78   16.84   8.07 7.29      90   38.83    4158   29.88   16897    0.52      1.51    7.27
  59214  414063 20250603 103738   12.03   12.41   16.71   8.06 7.19      88   38.71    4158   29.88   16899    0.35      1.61    7.17
  59214  414063 20250603 103756   13.01   11.23   16.56   8.06 7.08      87   38.58    4158   29.88   16899    0.29      1.60    7.07
  59214  414063 20250603 103813   14.03    9.40   16.44   8.06 7.00      86   38.47    4158   29.88   16898    0.31      1.53    6.99
  59214  414063 20250603 103831   14.99    2.90   16.34   8.06 6.95      85   38.41    4160   29.90   16909    0.23      1.63    6.94
  59214  414063 20250603 103857   16.00    1.72   16.29   8.06 6.85      84   38.36    4159   29.89   16904    0.26      1.62    6.84
  59214  414063 20250603 103930   17.05    0.00   15.98   8.04 6.48      79   38.14    4164   29.93   16929    0.26      1.95    6.47
  59214  414063 20250603 104003   17.98    6.45   15.82   8.02 5.89      71   37.99    4163   29.92   16923    0.22      2.06    5.88
  59214  414063 20250603 104019   19.01    5.27   15.81   8.03 5.83      70   37.97    4162   29.91   16921    0.17      2.28    5.82
  59214  414063 20250603 104050   19.98    4.29   15.81   8.02 5.76      70   37.97    4162   29.91   16919    0.19      2.12    5.75
  59214  414063 20250603 104150   20.99    3.41   15.78   8.02 5.67      68   37.95    4162   29.91   16922    0.20      2.32    5.66
  59214  414063 20250603 104224   22.04    2.24   15.76   8.02 5.53      67   37.94    4163   29.92   16924    0.30      2.11    5.52
  59214  414063 20250603 104243   23.05    1.29   15.72   8.01 5.43      66   37.91    4164   29.93   16929    0.23      2.23    5.42
