# VERTIKAAL 5 M.S. IJSSELMEER
* 13-05-2025 11:19:30
#X: 35445 - Y: 397423
#00 DONARLOCATIE: VTS-05
#01 MEETPUNT: 1
#08 WAARNEMER(S): bernaards
@ par1.dat

~     X       Y    DATUM   TIJD       T   GELBH     %O2      pH SENSHTE CHLFRFU TROEBHFNU  CHLPHL  SALNTT     CL-   DICHT      O2   GELDHD
  35445  397423 20250513 111943   16.73   15.66     104    8.28    1.00    0.55    6.85    1.58   16.00    6535   12.62    9.59    1678
  35445  397423 20250513 112519   16.85   36.35     105    8.29    2.36    0.64    0.46    1.98   27.76   15676   20.05    8.72    3892
  35445  397423 20250513 112548   16.67   36.35     104    8.29    3.06    0.86    0.51    2.95   27.90   15755   20.19    8.67    3909
  35445  397423 20250513 112631   16.75   36.41     104    8.28    4.11    0.79    0.50    2.62   27.89   15750   20.17    8.62    3908
  35445  397423 20250513 112648   16.69   36.37     104    8.29    5.13    0.69    0.53    2.18   27.89   15748   20.18    8.62    3908
  35445  397423 20250513 112714   16.73   36.42     104    8.29    6.05    0.63    0.54    1.92   27.91   15764   20.19    8.63    3911
  35445  397423 20250513 112813   16.45   36.23     102    8.28    7.07    0.61    0.53    1.83   27.87   15733   20.22    8.47    3904
  35445  397423 20250513 112844   14.36   34.70     100    8.30    8.05    0.38    0.45    0.84   28.10   15875   20.84    8.74    3933
  35445  397423 20250513 112925   14.01   34.39      99    8.29    8.96    0.41    0.59    0.98   28.06   15856   20.87    8.68    3928
  35445  397423 20250513 113013   13.72   34.19      96    8.27    9.94    0.32    0.60    0.56   28.10   15885   20.97    8.44    3934
  35445  397423 20250513 113206   13.42   34.20      66    8.21   11.06    0.16    0.81   -0.14   28.33   15996   21.21    5.81    3958
  35445  397423 20250513 113345   12.85   34.47      49    8.02   12.00    0.12    1.30   -0.32   29.00   16406   21.83    4.42    4047
