# VERTIKAAL 4 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 09:47:00
#X: 49730 - Y: 418270
#00 DONARLOCATIE: GTS-04
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  49730  418270 20250506 94708    1.02   17.08   15.02   8.47 8.63     102   36.65    4091   29.35   16597    0.82    0.85
  49730  418270 20250506 94728    2.00   16.04   15.01   8.47 8.64     102   36.65    4091   29.35   16597    1.13    0.81
  49730  418270 20250506 94746    3.03   14.90   15.01   8.47 8.63     102   36.65    4091   29.35   16598    1.10    0.85
  49730  418270 20250506 94806    3.97   13.96   14.99   8.47 8.60     101   36.64    4091   29.35   16600    1.07    0.90
  49730  418270 20250506 94826    5.01   13.03   14.99   8.47 8.62     101   36.64    4091   29.35   16598    1.09    0.87
  49730  418270 20250506 94841    6.02   11.71   14.99   8.46 8.61     101   36.64    4091   29.35   16598    1.00    0.98
  49730  418270 20250506 94857    7.01   12.55   14.98   8.46 8.61     101   36.63    4092   29.35   16600    1.19    0.96
  49730  418270 20250506 94913    8.06   12.58   14.97   8.46 8.60     101   36.63    4092   29.36   16603    1.12    0.74
  49730  418270 20250506 94942    8.98   12.50   14.89   8.45 8.52     100   36.57    4093   29.37   16609    1.10    0.89
  49730  418270 20250506 95010    9.97    0.00   14.85   8.45 8.38      98   36.56    4097   29.39   16624    1.01    0.89
  49730  418270 20250506 95048   11.04   14.31   14.75   8.43 8.14      95   36.56    4105   29.46   16665    1.12    1.38
  49730  418270 20250506 95156   12.01   11.39   13.51   8.33 7.28      83   35.90    4150   29.82   16876    1.10    1.60
  49730  418270 20250506 95248   13.04   11.09   11.87   8.26 6.81      75   34.67    4166   29.96   16961    0.55    0.68
  49730  418270 20250506 95307   14.02   10.00   11.56   8.25 6.79      75   34.39    4163   29.93   16947    0.66    0.55
  49730  418270 20250506 95323   15.01    8.94   10.98   8.23 6.77      74   33.97    4171   30.00   16986    0.23    0.51
  49730  418270 20250506 95414   16.03    9.26   10.53   8.19 6.37      68   33.48    4157   29.89   16925    0.46    0.56
  49730  418270 20250506 95520   17.04    9.31   10.01   8.11 5.35      57   33.06    4157   29.89   16927    0.33    0.80
  49730  418270 20250506 95542   18.02    8.19    9.53   8.09 5.29      56   32.65    4156   29.88   16924    0.30    0.53
  49730  418270 20250506 95713   19.06    9.78    8.28   8.00 4.78      49   31.55    4145   29.80   16878    0.49    0.71
  49730  418270 20250506 95745   20.00    7.88    8.10   8.00 4.73      48   31.41    4146   29.81   16884    0.49    0.69
  49730  418270 20250506 95808   21.02    6.18    7.67   7.97 4.73      48   31.03    4142   29.78   16867    0.99    0.86
  49730  418270 20250506 95833   22.01    5.13    7.57   7.96 4.66      47   30.93    4139   29.75   16853    0.84    0.81
  49730  418270 20250506 95859   23.01    4.25    7.55   7.95 4.62      46   30.91    4139   29.75   16854    0.87    1.01
  49730  418270 20250506 95919   24.04    2.86    7.32   7.94 4.60      46   30.72    4138   29.75   16849    0.67    1.06
  49730  418270 20250506 95941   25.02    0.89    7.07   7.93 4.58      46   30.55    4141   29.78   16867    0.96    1.00
