# VERTIKAAL 10 M.C.ECOS 8 VERTIKAAL
* 06-05-2025 11:29:30
#X: 54890 - Y: 424000
#00 DONARLOCATIE: GTS-25
#01 MEETPUNT: 1
#08 WAARNEMER(S): Hartman
@ par1.dat
## TLU        oC <-->
## LUCHTDK    hPa <1023>
## WINDSHD    m/s <-->
## WINDRTG    gradn <-->
## BEWKGD     /8 <1>

~     X       Y    DATUM   TIJD SENSHTE   Echms       T     pH   O2     %O2   GELBH   GEL20  SALNTT     CL- CHLFRFU TROEBHFNU
  54890  424000 20250506 112938    0.969   21.73   14.52   8.44 8.40      98   36.12    4077   29.24   16538    1.05    0.73
  54890  424000 20250506 112958    1.98    0.96   14.52   8.44 8.37      97   36.12    4078   29.24   16538    1.10    0.69
  54890  424000 20250506 113025    3.03   18.97   14.52   8.44 8.36      97   36.12    4078   29.24   16539    0.96    0.70
  54890  424000 20250506 113039    4.01   17.74   14.50   8.44 8.35      97   36.11    4078   29.25   16542    0.96    0.67
  54890  424000 20250506 113115    4.98   16.20   14.47   8.42 8.14      95   36.10    4080   29.26   16548    0.98    0.74
  54890  424000 20250506 113206    6.01   14.36   14.31   8.39 7.76      90   36.05    4090   29.34   16595    0.58    0.62
  54890  424000 20250506 113236    6.99   12.20   14.21   8.38 7.65      89   36.01    4094   29.37   16615    0.61    0.75
  54890  424000 20250506 113313    7.99    9.68   14.12   8.36 7.54      87   35.97    4099   29.41   16638    0.58    0.72
  54890  424000 20250506 113329    9.04    7.88   14.06   8.37 7.53      87   35.94    4101   29.43   16647    0.44    0.75
  54890  424000 20250506 113426   10.01    5.40   13.87   8.34 7.17      82   35.80    4103   29.44   16657    0.39    0.69
  54890  424000 20250506 113441   11.05    4.71   13.71   8.33 7.18      82   35.71    4107   29.48   16679    0.43    0.75
  54890  424000 20250506 113456   11.97    4.44   13.71   8.33 7.16      82   35.73    4110   29.50   16691    0.32    0.68
  54890  424000 20250506 113523   13.03    5.31   13.70   8.33 7.09      81   35.74    4112   29.52   16702    0.29    0.79
  54890  424000 20250506 113542   13.98    5.73   13.66   8.33 7.09      81   35.71    4113   29.53   16705    0.30    0.69
  54890  424000 20250506 113606   15.05    6.11   13.65   8.33 7.04      81   35.72    4114   29.54   16712    0.33    0.97
  54890  424000 20250506 113619   16.04    5.54   13.63   8.33 7.02      80   35.70    4114   29.54   16712    0.41    0.93
  54890  424000 20250506 113649   17.04    5.24   13.62   8.32 6.89      79   35.68    4114   29.53   16709    0.27    0.93
  54890  424000 20250506 113719   17.99    4.61   13.60   8.32 6.83      78   35.67    4114   29.54   16711    0.22    1.11
  54890  424000 20250506 113733   19.00    3.79   13.59   8.32 6.83      78   35.67    4115   29.54   16714    0.35    0.88
  54890  424000 20250506 113747   20.02    2.89   13.58   8.32 6.81      78   35.66    4115   29.54   16714    0.24    0.91
  54890  424000 20250506 113803   21.01    2.08   13.58   8.31 6.79      78   35.67    4116   29.55   16718    0.27    1.20
  54890  424000 20250506 113838   21.95    1.71   13.53   8.31 6.59      75   35.63    4116   29.55   16718    0.26    1.24
  54890  424000 20250506 113856   23.01    1.79   13.52   8.30 6.56      75   35.61    4115   29.55   16717    0.34    0.98
  54890  424000 20250506 113913   24.02    2.10   13.51   8.30 6.58      75   35.61    4116   29.55   16718    0.29    0.91
  54890  424000 20250506 114007   25.01    2.61   13.49   8.29 6.34      72   35.59    4116   29.55   16719    0.29    1.04
  54890  424000 20250506 114036   25.98    1.63   13.47   8.29 6.24      71   35.57    4115   29.55   16718    0.29    1.26
  54890  424000 20250506 114127   26.96    0.41   13.46   8.29 6.19      71   35.57    4115   29.54   16716    0.44    1.31
